pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
31.75,26.67,180.0,top,J42,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-31.75,31.75,180.0,top,J43,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
31.75,46.99,0.0,top,J44,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-31.75,49.53,0.0,top,J45,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-31.75,41.91,0.0,top,J46,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
31.75,29.21,-90.0,top,J47,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
31.75,-49.53,-90.0,top,J48,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
31.75,49.53,180.0,top,J49,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-31.75,-36.83,0.0,top,J5,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
31.75,-44.45,180.0,top,J50,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-31.75,46.99,0.0,top,J51,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-13.97,-49.53,0.0,top,J52,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
31.75,41.91,0.0,top,J53,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-31.75,36.83,0.0,top,J54,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-11.43,-49.53,0.0,top,J55,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
31.75,36.83,0.0,top,J56,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
31.75,34.29,0.0,top,J57,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-8.89,-49.53,0.0,top,J58,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-31.75,-44.45,180.0,top,J59,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-31.75,-46.99,0.0,top,J6,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
31.75,39.37,180.0,top,J60,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-19.05,49.53,0.0,top,J61,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-31.75,34.29,0.0,top,J62,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
31.75,44.45,0.0,top,J63,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-21.59,49.53,0.0,top,J64,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-24.13,49.53,0.0,top,J65,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-31.75,29.21,180.0,top,J66,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-31.75,26.67,180.0,top,J67,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-31.75,24.13,0.0,top,J68,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
24.13,-49.53,0.0,top,J69,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
31.75,-34.29,0.0,top,J70,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
31.75,-31.75,0.0,top,J71,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
31.75,-29.21,0.0,top,J72,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
31.75,-26.67,90.0,top,J73,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
31.75,-24.13,90.0,top,J74,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-31.75,-11.43,90.0,top,J75,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-31.75,-13.97,90.0,top,J76,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-31.75,-16.51,0.0,top,J77,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-31.75,-19.05,90.0,top,J78,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-19.05,-49.53,0.0,top,J79,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-16.51,-49.53,0.0,top,J80,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
31.75,6.35,0.0,top,J81,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
31.75,8.89,0.0,top,J82,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-6.35,29.21,0.0,top,J83,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
31.75,11.43,0.0,top,J84,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
31.75,13.97,0.0,top,J85,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
24.13,49.53,0.0,top,J86,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
21.59,49.53,-90.0,top,J87,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
19.05,49.53,0.0,top,J88,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-31.75,3.81,0.0,top,J89,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
16.51,49.53,0.0,top,J90,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
13.97,49.53,0.0,top,J91,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
11.43,49.53,0.0,top,J92,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
8.89,49.53,0.0,top,J93,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
6.35,49.53,180.0,top,J94,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
3.81,49.53,180.0,top,J95,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
1.27,49.53,0.0,top,J96,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
-1.27,49.53,0.0,top,J97,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
